task,commit,run,path
T3,dd64f03,1,test/fake-mount-dom.ts
T3,dd64f03,1,test/figures-week.test.ts
T3,dd64f03,2,public/bundle.js
T3,dd64f03,2,src/scorers/method.ts
T3,dd64f03,2,src/ui/app.ts
T3,dd64f03,2,src/ui/figures/atlas.ts
T3,dd64f03,2,src/ui/figures/week.ts
T3,dd64f03,2,test/app.test.ts
T3,dd64f03,2,test/atlas-modules-acceptance.test.ts
T3,dd64f03,2,test/collectors-senado.test.ts
T3,dd64f03,2,test/comments-acceptance.test.ts
T3,dd64f03,2,test/db.test.ts
T3,dd64f03,2,test/fake-mount-dom.ts
T3,dd64f03,2,test/figures-atlas.test.ts
T3,dd64f03,2,test/figures-compare.test.ts
T3,dd64f03,2,test/figures-rising.test.ts
T3,dd64f03,2,test/figures-week.test.ts
T3,dd64f03,2,test/format.test.ts
T3,dd64f03,2,test/graph.test.ts
T3,dd64f03,2,test/query.test.ts
T3,dd64f03,2,test/scorers.test.ts
T3,dd64f03,2,test/security-headers-acceptance.test.ts
T3,dd64f03,2,test/server.test.ts
T3,dd64f03,2,vercel.json
T3,dd64f03,3,public/bundle.js
T3,dd64f03,3,src/ui/app.ts
T3,dd64f03,3,src/ui/figures/atlas.ts
T3,dd64f03,3,src/ui/figures/week.ts
T3,dd64f03,3,test/app.test.ts
T3,dd64f03,3,test/atlas-modules-acceptance.test.ts
T3,dd64f03,3,test/fake-mount-dom.ts
